AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,Statisticians,detailed,108040,54600,72800,144580,189530,113520
Florida,Data Scientists,detailed,115820,63080,84070,140210,174140,119150
Florida,"Mathematical Science Occupations, All Other",detailed,*,*,*,*,*,*
Florida,Architecture and Engineering Occupations,major,88900,50180,66250,124750,157430,97120
Florida,"Architects, Except Landscape and Naval",detailed,96240,59990,76550,122940,138230,100170
Florida,Landscape Architects,detailed,79650,57740,63590,98600,125160,85340
Florida,Cartographers and Photogrammetrists,detailed,79650,59410,64930,94990,109110,81790
Florida,Surveyors,detailed,65480,46160,57870,94530,121360,76490
Florida,Aerospace Engineers,detailed,129280,84210,104790,156370,177070,131070
Florida,Bioengineers and Biomedical Engineers,detailed,101730,62360,77420,131400,163370,109740
Florida,Chemical Engineers,detailed,109000,73180,83720,126250,160340,113080
Florida,Civil Engineers,detailed,98570,58640,76740,128450,166680,103810
Florida,Computer Hardware Engineers,detailed,134160,77680,101680,167690,203510,137810
Florida,Electrical Engineers,detailed,104780,65090,80860,131550,164210,111430
Florida,"Electronics Engineers, Except Computer",detailed,116860,80240,97280,137510,172970,123100
Florida,Environmental Engineers,detailed,116840,57240,75570,146960,154130,111530
Florida,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,101790,60820,79490,124880,149030,102830
Florida,Industrial Engineers,detailed,101610,68850,81480,127650,156560,107170
Florida,Marine Engineers and Naval Architects,detailed,130640,73070,96580,167060,215470,133820
Florida,Materials Engineers,detailed,118780,73370,91150,138430,166490,118040
Florida,Mechanical Engineers,detailed,99980,66260,79090,128320,153950,105800
Florida,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,117500,82300,104630,136750,213310,124110
Florida,Nuclear Engineers,detailed,135400,90000,110810,160990,188720,137910
Florida,Petroleum Engineers,detailed,*,*,*,*,*,*
Florida,"Engineers, All Other",detailed,105410,59490,76400,138920,167950,110430
Florida,Architectural and Civil Drafters,detailed,62640,43680,48380,77580,95150,65550
Florida,Electrical and Electronics Drafters,detailed,73010,44920,54770,87840,95950,70900
Florida,Mechanical Drafters,detailed,68050,45760,55830,79280,100400,70180
Florida,"Drafters, All Other",detailed,59970,38160,50910,74080,85410,62680
Florida,Aerospace Engineering and Operations Technologists and Technicians,detailed,78560,57200,65290,102380,122870,83180
Florida,Civil Engineering Technologists and Technicians,detailed,63410,42760,49060,77560,97160,67170
Florida,Electrical and Electronic Engineering Technologists and Technicians,detailed,73190,49240,59840,84160,101170,73820
Florida,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,75450,53360,61160,80640,96800,73770
Florida,Environmental Engineering Technologists and Technicians,detailed,51970,34930,42110,60730,69080,53070
Florida,Industrial Engineering Technologists and Technicians,detailed,61350,38690,47260,75260,91980,63030
